,sentence,label
1018,keramat pantangan bila ada yang cuma melihat akan dihukum mati oleh dukun sukunya aku holt percaya sebenarnya disana ada makam para gajah,COMMA DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK COMMA BLANK COMMA BLANK BLANK BLANK DOT
1019,lalu untuk apa aku tau gading,COMMA BLANK QUES BLANK BLANK DOT
1020,gading terbanyak sedunia harganya pasti milyaran,BLANK BLANK DOT BLANK BLANK DOT
1021,tuan holt kau pasti paham aku sangat ingin ikut,BLANK COMMA BLANK BLANK DOT BLANK BLANK BLANK DOT
1022,kalau dia begitu ingin sekali mungkin tak apa kau adalah orang paling baik disini karena dia izinkan,BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
1023,jangan iri ayah kau juga baik aku belum beri izin,BLANK BLANK DOT BLANK BLANK DOT BLANK BLANK BLANK DOT
1024,bisa menembak jago sekali,BLANK QUES BLANK DOT
1025,ya nona topi,COMMA QUES DOT
1026,puas sangat lelahnya,QUES DOT DOT
1027,tidur dulu malam holt,BLANK DOT BLANK DOT
1028,urusan kalian tidak sama sekali kau malah berguna,BLANK QUES BLANK BLANK DOT BLANK BLANK DOT
1029,suhu disini tidak pasti tidak dingin,BLANK BLANK BLANK DOT BLANK DOT
1030,disini sepi dengar jane,BLANK DOT COMMA DOT
1031,aku bukanlah pria romantis andai ini semua selesai aku punya kesempatan denganku,BLANK BLANK BLANK COMMA BLANK BLANK BLANK COMMA BLANK BLANK QUES QUES
1032,entahlah belum terpikirkan masa sih,DOT BLANK DOT BLANK QUES
1033,senang apa kau suka afrika oh itu,BLANK QUES BLANK BLANK DOT COMMA DOT
1034,kau menggodaku sedikit mungkin sengaja kok,BLANK DOT COMMA DOT BLANK DOT
1035,tentu saja lihatlah ajaib bukan,BLANK DOT DOT BLANK QUES
1036,lucunya aku seperti merasa dirumah benarkah,BLANK BLANK BLANK BLANK DOT QUES
1037,malam harry tangan kecil lucu kuat berbakat namun juga putih lembut jangan terlena harry,BLANK DOT BLANK BLANK COMMA BLANK COMMA BLANK BLANK BLANK DOT BLANK COMMA DOT
1038,aku sudah ngantuk maafkan aku selamat malam,BLANK BLANK DOT BLANK DOT BLANK DOT
1039,tidurlah nyenyak dengan suara hutan ini hebat kan,BLANK DOT BLANK BLANK BLANK QUES BLANK QUES
1040,kebanggaan kengerian namun sangat menarik sepertinya yang ini dekat ya dekat sekali,COMMA COMMA BLANK BLANK DOT BLANK BLANK BLANK DOT COMMA BLANK DOT
1041,jaga api unggun tetap selalu nyala ya tuan itu,BLANK BLANK DOT BLANK BLANK DOT COMMA DOT DOT
1042,mungkin desa terdekat suaranya berubah,BLANK BLANK DOT BLANK DOT
1043,tolong tuan apa itu itu manusia kan,COMMA DOT BLANK QUES BLANK BLANK DOT
1044,tahan ambilkan air,DOT BLANK DOT
1045,kalian paham lindungi dia ayo bersiap,BLANK QUES BLANK DOT BLANK DOT
1046,dia bilang apa mencari pelanggar hukum sukunya bilang saja,BLANK BLANK QUES BLANK BLANK BLANK DOT BLANK BLANK
1047,kita tidak melihatnya sudah kok,BLANK BLANK DOT BLANK DOT
1048,bukan tapi pantangan mereka anggap itu lebih dari nyawa bahkan kematian,COMMA BLANK DOT BLANK BLANK BLANK BLANK BLANK DOT BLANK QUES
1049,dia akan cerita ayo bangun,BLANK BLANK DOT COMMA DOT
1050,dia mati kutukan wilayah terlarang malangnya,BLANK DOT BLANK BLANK DOT DOT
1051,dan menunjuk arah sana itu wilayah terlarang,BLANK BLANK BLANK DOT BLANK BLANK QUES
1052,ya kita harus memanjatnya kirakira ada apa diujung sana sampai sesulit ini ini,COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT DOT
1053,perhatikan ini jaga diri kalian,BLANK DOT BLANK BLANK DOT
1054,baik saja jane lumayan hatihati,BLANK COMMA QUES DOT DOT
1055,jane tetap waspada tak apa,DOT BLANK DOT BLANK DOT
1056,bawa apa dia parker obatobatan penting ya ampun,BLANK BLANK COMMA QUES BLANK DOT BLANK DOT
1057,itu akan menyusahkan kau tak apa aku baik saja,BLANK BLANK DOT BLANK BLANK QUES BLANK BLANK DOT
1058,pelanpelan jane perlahan,COMMA DOT DOT
1059,pegang aku tahan dia holt,BLANK DOT BLANK COMMA DOT
1060,tenanglah baik,DOT DOT
1061,ayo sayang bagus sekali,COMMA DOT BLANK DOT
1062,maafkan kebodohanku harry kumaafkan asal jangan ulangi apa kau mau istirahat dulu,BLANK COMMA DOT COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK QUES
1063,ayo lepaskan talinya boleh aku duduk sebentar kami juga butuh istirahat,BLANK BLANK DOT BLANK BLANK BLANK QUES BLANK BLANK BLANK DOT
1064,perlu sesuatu mandi air hangat apa itu,BLANK QUES BLANK BLANK DOT BLANK QUES
1065,mungkin ayo,DOT DOT
1066,cukup disini aku tau maksudmu,BLANK DOT BLANK BLANK DOT
1067,aku tak akan menyusahkan aku tidak takut kok ayo cari gading,BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT BLANK BLANK DOT
1068,mereka takut cambuk saja sadarkan mereka,BLANK DOT BLANK DOT BLANK DOT
1069,apa kita kehilangan arah ya tapi sepertinya harus menyebrang tunggu,BLANK BLANK BLANK QUES COMMA BLANK BLANK BLANK DOT DOT
1070,senapan lumayan bahaya ayah apakah dia cukup bersahabat,DOT BLANK DOT COMMA BLANK COMMA BLANK QUES
1071,mundur perlahan bersiap tembak,BLANK DOT COMMA DOT
1072,awas jane ini sungai mereka apa gajah sekarat kesini,COMMA DOT BLANK BLANK DOT BLANK BLANK BLANK QUES
1073,lihat sebaiknya kita jangan nekat,DOT BLANK BLANK BLANK DOT
1074,tuan buatkan rakit ayah lihat,QUES BLANK DOT COMMA DOT
1075,bukankah itu mengharukan mereka tak berbahaya,BLANK BLANK QUES BLANK BLANK DOT
1076,hampir selesai cepat riano,BLANK DOT COMMA DOT
1077,ya tuan harry kau tidak ikut orangorang ini masih harus diawasi,COMMA DOT COMMA BLANK BLANK QUES BLANK BLANK COMMA BLANK DOT
1078,kami menyusul ayo riano,BLANK DOT COMMA DOT
1079,gantian hatihati,DOT DOT
1080,sepertinya harus memutar ya ini daerah mereka tetap ditengah rakit jane,BLANK BLANK DOT COMMA BLANK BLANK DOT BLANK BLANK COMMA DOT
1081,baik apa mereka cuma penasaran semoga saja,DOT BLANK BLANK BLANK QUES BLANK DOT
1082,mungkin semoga,DOT DOT
1083,aku yang tambah cemas mereka mirip ikan lele besar,BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
1084,bagus aku meleset holt awas parker mereka banyak,DOT BLANK COMMA DOT BLANK COMMA BLANK DOT
1085,senapanku rusak tembak holt,BLANK DOT COMMA DOT
1086,menyingkir sekarang ya cepatlah ayo dorong,BLANK DOT BLANK DOT COMMA DOT
1087,harry lihat dia kebawah rakit,COMMA DOT BLANK BLANK DOT
1088,awas holt dia dibawah kalian cepat dayung keseberang sana,COMMA DOT BLANK BLANK DOT COMMA BLANK BLANK DOT
1089,bantu mereka dulu tak apa dia sudah pasti mati,BLANK BLANK DOT BLANK QUES BLANK BLANK BLANK DOT
1090,awas datang lagi cepat ke darat kemari jane,COMMA BLANK DOT BLANK BLANK DOT COMMA DOT
1091,ayah cepat pegangan,COMMA DOT DOT
1092,ayo mundur riano senapanku,BLANK DOT BLANK DOT
1093,hatihati parker mereka banyak mereka takut,COMMA DOT BLANK DOT BLANK DOT
1094,ya benar sekali kalian berkemah disini,COMMA BLANK DOT BLANK BLANK DOT
1095,tooch ayo ikut aku ayo jane,COMMA BLANK BLANK DOT COMMA DOT
1096,jauhi sungai beri jalan,BLANK DOT BLANK DOT
1097,ya tuan apa itu kera,COMMA DOT BLANK QUES DOT
1098,lihat kera putih itu jeritannya,DOT BLANK DOT BLANK DOT
1099,ayah disana apa kabar,COMMA DOT BLANK DOT
1100,turunlah riano bicaralah,DOT COMMA DOT
1101,dia tidak paham kita coba bahasa lain,BLANK BLANK DOT BLANK BLANK BLANK DOT
1102,ayo turun atau kutembak dia tak mengenal senapan,BLANK COMMA BLANK DOT BLANK BLANK BLANK DOT
1103,ayo riano tahan mereka kemana mereka riano jane mendekatlah,COMMA COMMA BLANK DOT BLANK COMMA QUES COMMA DOT
1104,bicara apa kau jangan lepas,BLANK BLANK QUES BLANK DOT
1105,pegangan dia menyerangku lindungi aku,DOT BLANK DOT BLANK DOT
1106,jangan lepaskan aku,COMMA BLANK DOT
1107,dasar hewan liar tolong lepaskan hentikan,BLANK BLANK DOT BLANK DOT DOT
1108,kasar sekali kau jangan menyentuhku,BLANK BLANK DOT BLANK DOT
1109,aku makasih melindungiku,QUES BLANK DOT
1110,aku tidak itu kau,DOT COMMA BLANK DOT
1111,kau bukan,DOT DOT
1112,aku jane parker paham jane,BLANK BLANK DOT QUES DOT
1113,jane kau dan kau,DOT QUES BLANK QUES
1114,hentikan semua ini tidak mengerti ya aku lapar,BLANK BLANK DOT BLANK QUES DOT BLANK DOT
1115,lapar tarzan mau kemana,DOT COMMA BLANK QUES
1116,tarzan bawa aku aku takut padanya tarzan bawa aku,COMMA BLANK DOT BLANK BLANK DOT COMMA BLANK DOT
1117,aku ikut denganmu jane,BLANK BLANK DOT DOT
1118,halo ayah disini,DOT COMMA DOT
1119,diatas pohon disini ayah tahan,BLANK DOT DOT DOT DOT
1120,ayah aku diatas pohon tuan disana,COMMA BLANK BLANK DOT COMMA DOT
1121,jane kami datang,DOT BLANK DOT
1122,bertahanlah disana tunggu kami,BLANK DOT BLANK DOT
1123,ya tuan riano itu kera besar harry jangan tembak,COMMA DOT COMMA BLANK BLANK DOT COMMA BLANK DOT
1124,sudah kau selamat,DOT BLANK DOT
1125,jangan nangis ayo kita semua pergi dari sini tapi parker,BLANK DOT BLANK BLANK COMMA BLANK BLANK DOT BLANK DOT
1126,dia masih ada tidak ayo kita pergi saja,BLANK BLANK DOT DOT BLANK BLANK BLANK DOT
1127,cepat ayo balik kau bersedih jane,DOT BLANK DOT BLANK COMMA DOT
1128,ya pasti karena masih tegang aku sering mengalami,COMMA BLANK BLANK BLANK DOT BLANK BLANK DOT
1129,masih tegang bukan itu maksudku,BLANK QUES BLANK BLANK DOT
1130,awalnya kupikir dia sadis ternyata tidak sama sekali,DOT BLANK BLANK DOT BLANK BLANK BLANK DOT
1131,anehnya kenapa dia bisa ada disini entah tapi dia senang sampai kalian ayah tau dia sangat sedih kera itu mati,COMMA BLANK BLANK BLANK BLANK QUES COMMA BLANK BLANK COMMA BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES
1132,dia juga riano carikan kayu bakar apa aku mengganggu,BLANK BLANK COMMA BLANK BLANK DOT BLANK BLANK QUES
1133,ya bagi siapa pria itu kenapa tertawa harry,DOT BLANK QUES BLANK DOT BLANK COMMA QUES
1134,dia itu adalah manusia kera kelak aku akan menembaknya itu tidak boleh,BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT BLANK BLANK DOT
1135,panggil semua orang kau menuduhnya,BLANK BLANK DOT BLANK QUES
1136,belum tau harry jangan,BLANK DOT COMMA DOT
1137,kau juga bunuh keranya bahaya bila kita membiarkannya kita harus beri pelajaran,BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT
1138,hei kau sudah janji harry biarkan aku harry jangan,BLANK BLANK BLANK DOT COMMA BLANK DOT COMMA DOT
1139,tuan darahnya,DOT DOT
1140,tarzan jane jangan muncul seenaknya,DOT QUES BLANK BLANK DOT
1141,ya kepala itu ada dibawah rambutmu jangan tarzan,COMMA DOT BLANK BLANK BLANK DOT COMMA DOT
1142,ya ampun perbannya sudah habis kau akan jatuh kebawah,BLANK DOT BLANK BLANK DOT BLANK BLANK BLANK DOT
1143,hentikan itu menyakitimu tarzan,BLANK BLANK DOT DOT
1144,awas jatuh tarzan dimana kau ayo keluarlah,BLANK DOT COMMA BLANK QUES BLANK DOT
1145,jangan hentikan tarzan bukan menyelam tapi,DOT BLANK DOT BLANK DOT BLANK
1146,tarzan jangan bagus tarzan naikkan jane,COMMA DOT BLANK DOT BLANK DOT
1147,naikkan kau tertipu,DOT BLANK DOT
1148,tarzan awas tarzan tangkap aku,COMMA DOT COMMA BLANK DOT
1149,apa itu mau apa kau,BLANK QUES BLANK BLANK QUES
1150,jangan naik tarzan hentikan kau orang paling menyebalkan,BLANK DOT COMMA DOT BLANK BLANK BLANK DOT
1151,apa warna matamu aku tau warna hutan,BLANK BLANK QUES BLANK DOT BLANK BLANK
1152,hijau gelap andai kau pakai baju pasti bagus,BLANK DOT BLANK BLANK BLANK DOT BLANK DOT
1153,tinggal di london kau akan suka kau mau,BLANK BLANK COMMA BLANK BLANK DOT BLANK QUES
1154,para wanita bodoh akan manfaatkanmu jangan terus memandangiku,BLANK BLANK DOT BLANK DOT BLANK BLANK DOT
1155,soalnya kau itu tampan kau pria yang tak tau apapun bahkan rasa ciuman,BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT
1156,suka pastinya ayo ke darat,DOT DOT BLANK BLANK DOT
1157,masuk kena kau,DOT BLANK DOT
1158,dimana sepatuku jangan iseng dong berikan sepatuku,BLANK QUES BLANK BLANK DOT BLANK DOT
1159,tarzan kembalikan tarzan itu kakiku sakit,COMMA DOT COMMA BLANK DOT DOT
1160,tidak lucu lepaskan baik jangan lupa pasang sepatuku,BLANK DOT DOT COMMA BLANK BLANK BLANK DOT
1161,sedikit berbeda ya kau suka perbedaan kau belum pernah lihat wanita kan,BLANK COMMA QUES BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK QUES
1162,tarzan mau kemana tarzan kumohon,COMMA BLANK QUES COMMA DOT
1163,lelah berikan padaku,QUES BLANK DOT
1164,lelah ya siapa yang lelah,BLANK QUES BLANK BLANK QUES
1165,ayo apa yang kulakukan sendiri bersamamu mungkin jangan dipikirkan,DOT BLANK BLANK COMMA COMMA QUES BLANK BLANK DOT
1166,terima saja berbahagia aku bahagia,BLANK COMMA DOT BLANK DOT
1167,tidak takut tidak menyesal andai kau bisa paham,BLANK DOT BLANK DOT BLANK BLANK BLANK DOT
1168,mungkin saja bisa kemarilah apa rencana kita berdua,BLANK BLANK DOT DOT BLANK BLANK BLANK QUES
1169,sakiti aku bocah suka jane,BLANK DOT DOT DOT DOT
1170,kalimat yang bagus tarzan ada apa riano kemah disini,BLANK BLANK DOT COMMA BLANK QUES COMMA BLANK DOT
1171,besok akan sama aku tetap akan lanjutkan ayolah parker,BLANK BLANK DOT BLANK BLANK BLANK DOT COMMA DOT
1172,10 menit saja kumohon baiklah tidak lebih,BLANK BLANK DOT DOT COMMA BLANK DOT
1173,kau tak pernah menangis ya kau tau apa artinya yaitu,BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK QUES BLANK
1174,selamat tinggal aku harus pulang,BLANK DOT BLANK BLANK DOT
1175,harus aku sayang ayah,DOT BLANK BLANK DOT
1176,sayang cuma aku miliknya,QUES BLANK BLANK DOT
1177,tarzan jangan memandangku bila begitu aku tidak tega mengerti,COMMA BLANK DOT BLANK COMMA BLANK BLANK DOT QUES
1178,selamat tinggal sayang mengembalikanku,BLANK COMMA DOT DOT
1179,ayah sudah tak apa sayang jangan pergi,DOT COMMA BLANK BLANK DOT BLANK DOT
1180,ayo ikut kita pulang jane tempatmu disini dia disana,BLANK BLANK BLANK DOT COMMA BLANK COMMA BLANK DOT
1181,sudahlah nak jangan bergerak semuanya diam,COMMA DOT BLANK DOT BLANK DOT
1182,ini gawat bisa dibantai,BLANK DOT BLANK DOT
1183,itu benar orang cebol mereka kurcaci,BLANK DOT BLANK QUES BLANK DOT
1184,entahlah panggil tarzan cheeta ini berbahaya,DOT BLANK BLANK DOT BLANK DOT
1185,akan kucoba ayah kemarilah,BLANK DOT COMMA DOT
1186,harry lihat tuan kenapa berhenti,COMMA DOT DOT BLANK QUES
1187,ada masalah tarzan gajahnya terluka,BLANK QUES COMMA BLANK DOT
1188,kita harus berhenti kita harus lanjutkan,BLANK BLANK DOT BLANK BLANK DOT
1189,ayah gajahnya sekarat ya ini kesempatan,BLANK BLANK DOT COMMA BLANK DOT
1190,makam para gajah dia akan pergi kesana ayah juga terluka parah,BLANK BLANK DOT BLANK COMMA BLANK DOT BLANK BLANK BLANK DOT
1191,aku baik saja ini kesempatan baik tarzan kita harus ikuti,BLANK BLANK DOT BLANK BLANK DOT COMMA BLANK BLANK DOT
1192,tarzan kesana indahnya indah menawan,COMMA DOT DOT BLANK DOT
1193,kita harus pergi kita kaya raya,BLANK BLANK DOT BLANK BLANK DOT
1194,parker ini nyata kita benar kan,COMMA BLANK DOT BLANK BLANK QUES
1195,father kau kenapa kita tadi lewat sini itu membuatku sedih,COMMA BLANK QUES BLANK BLANK BLANK DOT BLANK BLANK DOT
1196,kau harus tabah jane impiannya terwujud apapun yang terjadi pastinya dia puas,BLANK BLANK COMMA DOT BLANK DOT BLANK BLANK COMMA BLANK BLANK DOT
1197,aku benci selamat tinggal selamat tinggal,BLANK BLANK BLANK DOT BLANK QUES
1198,kau pasti kembali harry kelak kau akan menjelajah membawa gading pulang dan tak ada lagi bahaya karena kami akan selalu melindungi,BLANK BLANK COMMA DOT BLANK BLANK BLANK COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT
1199,oh sang ratu dimana sang ratu sang ratu pergi,COMMA BLANK DOT BLANK BLANK QUES BLANK BLANK DOT
1200,cleopatra cleopatra telah pergi pergi dari bumi maksudmu,DOT BLANK BLANK DOT BLANK BLANK BLANK QUES
1201,pothinos disinilah kerajaan barumu cleopatra,DOT BLANK BLANK COMMA DOT
1202,disini kau dapat memerintahkan dengan ganas dan semua kalajengking di gurun mungkin mereka akan tunduk rendah dan membisikkan yang mulia jika tanganku sudah terbebas maka akan kubunuh kau,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT
1203,tapi aku orang yang sangat baik aku meninggalkanmu ini penuntun yang perkasa,BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK DOT
1204,membebaskannya apollodorus dengan bantuannya kau mungkin mencapai suriah di sana,DOT DOT BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT
1205,dan jalan ke mesir telah tiada,BLANK BLANK BLANK QUES BLANK DOT
1206,menginjakkan kaki lagi di alexandria dan aku akan membunuhmu aku telah mendengar bahwa caesar datang ke alexandria perdana menteri aku kembali untuk bertemu dengan caesar philosopher,BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK DOT BLANK BLANK BLANK BLANK BLANK COMMA DOT
1207,selamat tinggal cleopatra sang ratu gurun kau akan menemukan untuk kesedianmu aku masih ratu dari mesir lepaskan aku,BLANK COMMA COMMA BLANK BLANK DOT BLANK BLANK COMMA BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK DOT
1208,kau mengerti ratuku dia kembali untuk bertemu dengan caesar apakah ini waktu untuk berbicara tentang roma,BLANK COMMA COMMA BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK QUES
1209,aku belum sarapan aku lapar,BLANK BLANK DOT BLANK DOT
1210,jadi caesar lapar untuk mesir kau lihat bagaimana bijaksananya ayahmu dulu menjadikan roma sebagai pelindungmu dan saudaramu raja ptolemy,BLANK BLANK DOT BLANK DOT BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK COMMA BLANK QUES
1211,mereka menyingkirkanmu dari jalan untuk membuat kesepakatan sepihak dengan saudaramu mereka dapat mengatasinya aku akan kembali ke alexandria,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
1212,yang mulia paduka telah meninggal ini kematian tertentu untuk pergi,BLANK BLANK COMMA BLANK DOT BLANK BLANK BLANK BLANK DOT
1213,seberapa tua kah ini caesar aku bilang kau telah tiba pada kesimpulan caesar ya,BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK COMMA DOT DOT
1214,apakah itu keputusan kau untuk mendukung penyebab ptolemy atau adiknya rajamu yang muda ptolemy telah membangkitkan tentara untuk menghancurkan saudarinya ratu cleopatra,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK COMMA BLANK BLANK BLANK COMMA BLANK BLANK COMMA BLANK DOT
1215,ini harus dibubarkan sebagai jenderal dari tentaranya kiranya aku menolak baiklah kita akan masuk kedalam jika kau melakukannya tapi aku tak berpikir kau akan melakukannya,BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK QUES COMMA BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
1216,model yang bagus bangun itu,BLANK BLANK DOT BLANK DOT
1217,dengan wewenang yang kau adili untuk nasib mesir aku disini untuk melihat bahwa ada kedamaian di mesir ini dengan tentara roman menunggu diperbatasan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK QUES
1218,sempurna kau akan tidak masuk perjanjian damai dengan raja jika sang ratu telah menghilang,COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK QUES
1219,benar kah rumor yang beredar mengatakan cleopatra telah ke suriah dia pasti sudah kesana,BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT
1220,dia tidak disini mungkin dia dibantu dalam penerbangannya siapa yang bisa ceritakan,BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK QUES
1221,siapa yang bisa ceritakan baiklah dari siapa aku mendengarnya kerugian kecil untuk mesir,BLANK BLANK BLANK QUES COMMA BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT
1222,dalam kasus seperti itu rajamu akan menjadi penguasa tunggal di bawah bimbingan romawi dan kau akan membayar ke roma setiap tahun satu juta dinar,BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
1223,satu juta dinar satu juta dinar,BLANK BLANK DOT BLANK BLANK DOT
1224,dan 10 kapalkapal berisi jagung orang mesir untuk para penganggur di roma sepuluh kapal jagung sepuluh ribu suara di roma untuk caesar,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT
1225,ratusan ribu mungkin siapa yang dapat ceritakan baiklah aku menunggu,BLANK BLANK DOT BLANK BLANK BLANK QUES COMMA BLANK DOT
1226,setuju biarkan dia menanda tanganinya,DOT BLANK BLANK BLANK DOT
1227,sebuah surat julius caesar untuk senatornya roma,BLANK DOT BLANK BLANK BLANK COMMA DOT
1228,sebuah karpet persia sebuah hadiah untuk caesar dari nahigian si pedagang kami tidak memberikan apaapa kepada romawi disini,BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT
1229,apakah kau berkata kepada caesar teruskan,BLANK BLANK BLANK BLANK QUES DOT
1230,apa yang kau sendiri pikirkan bumi ya dan kami telah membuat penyelesaian dengan mesir dimana kami mendukung ptolemy muda sebagai raja,BLANK BLANK BLANK BLANK COMMA QUES DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
1231,jaminanmu sempurna melawan hasutan dari saudarinya cleopatra siapa dari semua laporan telah melarikan diri ke suriah sebuah hadiah untuk caesar bahkan cocok untuk matanya,COMMA DOT BLANK BLANK BLANK COMMA COMMA COMMA BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT
1232,terima kasih berikan dia sesuatu,BLANK DOT BLANK BLANK DOT
1233,lilin telah siap untuk jaminanmu caesar karpetnya sempurna akankah kau menerima itu apa,BLANK BLANK BLANK BLANK COMMA DOT COMMA DOT BLANK BLANK BLANK QUES QUES
1234,ya ya letakkan itu dibawah sempurna lilinya mendingin amati caesar,COMMA COMMA BLANK BLANK DOT COMMA BLANK DOT COMMA DOT
1235,rancangan yang sangat luar biasa apa baiklah,BLANK BLANK BLANK BLANK DOT QUES DOT
1236,salam kepada caesar dari mesir sebuah lelucon yang sangat lucu,BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
1237,sangat bagus tapi aku juga sibuk ada apa,BLANK DOT BLANK BLANK BLANK DOT BLANK QUES
1238,katakan padanya pothinos katakan padanya apa yang terjadi jika kebohongan lidahmu dapat menemukan katakata aku cleopatra,BLANK COMMA DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT BLANK DOT
1239,ya sebuah lelucon yang bagus dia adalah cleopatra dan aku adalah caesar ayolah,COMMA BLANK BLANK BLANK DOT BLANK BLANK COMMA BLANK BLANK BLANK DOT DOT
1240,aku akan mengeluarkannya jangan kau tak menginginkannya cukup semua ini caesar kau harus dengarkan,BLANK BLANK DOT COMMA BLANK BLANK DOT BLANK BLANK DOT COMMA BLANK BLANK DOT
1241,dia menculikku ke padang gurun dan meninggalkanku di sana untuk mati tapi tak ada satu pun yang dapat menghentikanku dari salammu apakah kau tertipu oleh,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT
1242,tidak aku tidak tertipu itu sangat berbahaya untuk membohongiku pothinos,COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK COMMA DOT
1243,tapi caesar aku berpikir itu akan menjadi yang terbaik di sekitar jika dia kemudian kau akan membohongiku,COMMA COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT
1244,jadi kau akan menyamai akal dengan caesar oh tidak,BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA DOT
1245,baiklah pergilah yang jauh sekarang jaminannya caesar,COMMA BLANK BLANK BLANK DOT COMMA DOT
1246,belum pertengkaran ini dengan saudaramu akan diselesaikan di roma,DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
1247,itu semua menarik ayolah paduka,BLANK COMMA DOT COMMA DOT
1248,cukup sebelum aku pergi satu kata lagi,DOT BLANK BLANK COMMA BLANK BLANK QUES
1249,baiklah baiklah itu tampak aneh untuk melihatmu bekerja,QUES QUES BLANK BLANK BLANK BLANK BLANK DOT
1250,aku selalu melukismu baik saat kau berkelahi dan bercinta baiklah aku telah punya beberapa pengalaman dengan pertarungan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
1251,tapi tidak dengan percintaan aku kira baiklah tidak dengan ratu kecil yang cantik oh,BLANK BLANK BLANK COMMA BLANK DOT COMMA BLANK BLANK BLANK BLANK BLANK DOT DOT
